11 Nov 1990,Bulgaria,3,0,Serbia & Montenegro
03 Jul 2004,United States,31,39,France
29 Oct 2011,Sweden,24,18,Croatia
23 Jul 2011,Australia,39,20,South Africa
29 Jun 2002,South Africa,49,29,Argentina
05 Apr 2003,Bosnia & Herzegovina,14,20,Malta
16 Jun 2001,Tahiti,41,6,Niue
22 Apr 1973,Czechoslovakia,45,0,Bulgaria
30 Jan 1954,England,0,5,New Zealand
02 Apr 2000,Scotland,19,13,England
30 Jun 1990,Namibia,21,25,France
08 Apr 2006,Denmark,16,5,Austria
19 Feb 1898,Ireland,0,8,Scotland
11 Jan 1902,England,8,9,Wales
07 Apr 1974,West Germany,20,10,Portugal
01 Jul 1930,Netherlands,0,6,Belgium
04 Mar 2000,Belgium,18,11,Switzerland
21 Apr 2012,Luxembourg,26,3,Finland
15 Oct 1978,Sweden,3,7,Serbia & Montenegro
03 Jul 1964,Romania,19,3,West Germany
23 Apr 1967,Netherlands,5,14,Spain
24 Oct 1982,Soviet Union,31,9,West Germany
22 May 2004,Singapore,14,47,Hong Kong
25 Mar 1995,Georgia,47,5,Moldova
27 May 1995,Denmark,16,3,Sweden
16 May 2010,Chile,31,8,Brazil
28 Jun 2003,South Africa,26,25,Argentina
09 Sep 1989,Czechoslovakia,23,6,Serbia & Montenegro
12 Jul 2009,Togo,6,5,Benin
01 Jul 1980,Hong Kong,91,6,Malaysia
24 Sep 1994,Norway,0,74,Poland
06 Nov 2004,Malta,13,38,Poland
04 Oct 1959,Denmark,6,8,Sweden
12 Nov 1983,Romania,24,6,Wales
26 Oct 1997,Italy,55,32,Romania
02 Nov 1985,Argentina,21,21,New Zealand
02 Apr 1977,Italy,29,3,Poland
27 Mar 2004,Portugal,19,18,Russia
07 Oct 2006,United States,33,7,Uruguay
20 Nov 2002,Japan,44,17,Chinese Taipei
24 Apr 1977,Spain,12,22,Romania
06 Jun 1998,Austria,50,3,Slovenia
08 Apr 1990,Korea,7,74,Samoa
15 Feb 1992,France,13,31,England
25 Jun 1910,Australia,0,6,New Zealand
23 Oct 1977,Netherlands,10,9,West Germany
14 Mar 2009,Switzerland,32,9,Andorra
06 Feb 2010,England,30,17,Wales
09 May 2009,Korea,36,34,Hong Kong
31 Jul 1971,New Zealand,3,13,Lions
17 Apr 1988,Romania,16,7,Spain
31 Aug 1963,Fiji,8,5,Tonga
13 Oct 1974,Czechoslovakia,16,6,East Germany
19 Mar 1977,Scotland,9,18,Wales
16 Dec 2011,United Arab Emirates,17,55,Kenya
23 Jan 2010,Namibia,15,30,Russia
15 Nov 1997,Ireland,15,63,New Zealand
05 Aug 1961,South Africa,28,3,Australia
09 Feb 1986,Spain,23,12,Morocco
02 Oct 1949,Czechoslovakia,5,20,Romania
07 Sep 2002,Uruguay,34,23,Chile
22 Apr 2006,Belgium,24,0,Malta
05 Dec 1981,Wales,18,13,Australia
21 Sep 1975,Argentina,30,15,Uruguay
12 Nov 2005,England,26,16,Australia
05 Oct 1989,Soviet Union,15,12,Italy
01 Jul 1998,Trinidad & Tobago,26,23,Venezuela
29 Aug 1964,New Zealand,5,20,Australia
14 Feb 2009,France,22,13,Scotland
18 Feb 1978,France,10,9,Ireland
29 Apr 2006,Hungary,13,24,Armenia
24 Oct 1981,Switzerland,34,21,Denmark
25 Apr 2012,Jordan,19,25,Lebanon
07 Nov 1978,Belgium,12,6,Sweden
30 Sep 1967,Argentina,18,0,Chile
13 May 2010,Chile,42,6,Paraguay
12 Nov 2005,Portugal,20,6,Uruguay
03 Apr 2010,Czech Republic,16,19,Belgium
09 Jul 2011,Kenya,27,10,Uganda
28 Apr 2007,Israel,34,13,Bosnia & Herzegovina
02 Aug 2008,Tunisia,44,15,Kenya
09 Apr 2011,Israel,20,11,Austria
03 Jun 2000,United States,34,25,Canada
30 Apr 1989,Denmark,0,39,Sweden
03 Jul 2010,Botswana,14,27,Zambia
16 Sep 1972,New Zealand,38,3,Australia
16 Sep 2001,Madagascar,31,11,Botswana
11 Jun 1988,United States,28,16,Canada
19 Aug 2011,Fiji,20,32,Tonga
19 Nov 1974,Laos,3,39,Sri Lanka
09 Jan 1960,Scotland,11,13,France
25 Jun 1960,South Africa,13,0,New Zealand
15 Mar 2008,Italy,23,20,Scotland
16 Aug 1969,New Zealand Maori,19,26,Tonga
26 Apr 1987,Spain,38,9,Poland
04 Jun 1994,Zimbabwe,23,21,Barbarians
29 Oct 1995,Denmark,20,20,Netherlands
01 Jul 2000,New Zealand,48,14,Scotland
10 Oct 1999,Argentina,32,16,Samoa
15 Oct 1961,Denmark,12,12,Sweden
15 Jan 1938,Wales,14,8,England
14 Aug 1971,Sweden,6,0,Netherlands
22 Oct 2003,Argentina,50,3,Romania
15 Jan 1972,Scotland,20,9,France
28 Jun 1997,United States,11,22,Canada
06 Oct 1979,Brazil,0,48,Uruguay
10 Jun 1962,Romania,14,6,Italy
09 May 1998,Namibia,32,26,Zimbabwe
08 May 1999,Tunisia,45,6,Serbia & Montenegro
21 Nov 2009,Italy,10,32,South Africa
10 Mar 2012,Czech Republic,17,20,Germany
28 Nov 1965,France,8,3,Romania
06 Jun 2009,United States,15,48,Wales
23 Nov 1974,Sri Lanka,6,44,Japan
09 Oct 2010,Czech Republic,20,15,Poland
02 Feb 1924,Scotland,35,10,Wales
03 May 1992,Bulgaria,3,16,Czechoslovakia
03 Mar 1979,Scotland,11,11,Ireland
18 Nov 1995,France,12,37,New Zealand
22 Sep 1998,Fiji,26,18,Samoa
16 Oct 1999,Hungary,3,27,Slovenia
27 Jul 1968,New Zealand,9,3,France
10 Aug 2002,United States,35,22,Chile
20 Aug 2005,Papua New Guinea,97,3,Vanuatu
06 Nov 1993,Netherlands,31,6,Sweden
24 Apr 1999,Bulgaria,10,11,Israel
27 May 2006,Ukraine,12,55,Russia
13 Sep 1980,Denmark,4,20,Sweden
20 Mar 1999,England,21,10,France
17 Nov 1974,Korea,43,9,Thailand
05 Sep 1983,Samoa,10,18,Fiji
02 Nov 2003,England,111,13,Uruguay
02 Jun 2007,Finland,27,20,Israel
04 Jun 2006,Georgia,19,28,Barbarians
29 Jun 2008,Venezuela,41,3,Peru
12 Jun 2010,Samoa,24,23,Tonga
29 Apr 1990,Czechoslovakia,22,22,Spain
28 Mar 1976,Netherlands,3,27,Romania
25 Feb 2012,Russia,0,25,Romania
05 Nov 2011,Croatia,34,8,Latvia
26 Oct 1985,Argentina,20,33,New Zealand
25 Feb 1950,France,6,3,England
03 May 1986,Tunisia,17,15,Romania
28 Jun 1997,Australia,26,19,France
17 Oct 1998,Argentina,30,14,Uruguay
14 Jun 1980,South Africa,26,19,Lions
01 Sep 1979,Tonga,74,0,Tahiti
21 Apr 1968,Portugal,8,6,Belgium
30 Oct 1977,Brazil,15,47,Uruguay
17 Jun 2000,Australia,53,6,Argentina
27 Nov 2004,Scotland,10,45,South Africa
01 Jul 1987,Belgium,24,21,West Germany
17 Feb 1990,Scotland,21,0,France
12 Mar 1994,Bermuda,3,60,United States
22 Mar 1984,Spain,12,3,Belgium
13 Feb 1904,England,19,0,Ireland
20 Nov 2004,England,32,16,South Africa
02 Oct 2010,Switzerland,30,27,Armenia
29 Apr 2006,Austria,3,11,Sweden
05 Sep 1903,South Africa,0,0,Lions
29 Jul 1967,South Africa,14,19,France
07 Jun 2003,Bosnia & Herzegovina,15,37,Lithuania
16 Sep 1998,Morocco,8,17,Namibia
25 May 1995,South Africa,27,18,Australia
01 Jun 2002,Scotland,27,47,Barbarians
11 Jun 2005,Cayman Islands,12,6,Bermuda
05 Nov 2000,Serbia & Montenegro,46,6,Bulgaria
23 Apr 1988,Ireland,10,21,England
22 May 1964,Czechoslovakia,3,11,East Germany
03 May 2003,Uruguay,0,32,Argentina
20 Mar 2010,Portugal,9,20,Romania
19 May 1957,Romania,15,18,France
15 May 1999,Croatia,56,9,Slovenia
23 Feb 1874,England,3,1,Scotland
10 Jul 2010,New Zealand,32,12,South Africa
06 Aug 2005,Zimbabwe,22,16,Uganda
18 Nov 1989,Ireland,6,23,New Zealand
10 Feb 1923,England,23,5,Ireland
31 May 1970,Madagascar,6,9,Italy
11 Nov 1996,Trinidad & Tobago,41,0,Brazil
26 Jul 2008,Australia,34,19,New Zealand
19 Nov 1988,Japan,13,17,Korea
19 Feb 1983,Ireland,22,16,France
11 Apr 1999,England,31,32,Wales
04 Jul 1982,Australia,7,12,Scotland
04 Feb 1933,Wales,3,11,Scotland
24 Sep 2005,Hungary,56,8,Bosnia & Herzegovina
28 Aug 1982,Fiji,39,4,Tonga
24 Feb 2007,France,32,21,Wales
01 Oct 1995,Paraguay,12,48,Uruguay
12 Oct 2003,Wales,41,10,Canada
06 Oct 2001,Switzerland,6,32,Czech Republic
23 Oct 2004,Latvia,18,20,Sweden
06 Nov 1999,Australia,35,12,France
23 Mar 1922,France,3,11,Wales
28 Jul 2001,Kenya,12,9,Uganda
23 Jun 1973,Czechoslovakia,44,6,East Germany
02 Sep 1905,New Zealand,14,3,Australia
18 Sep 2011,France,46,19,Canada
27 Apr 1991,United States,20,9,Japan
20 Aug 2005,Australia,19,22,South Africa
05 Jun 2004,Austria,23,12,Lithuania
26 Oct 1998,Sri Lanka,43,5,China
19 May 2012,Russia,41,37,Spain
16 Aug 2008,New Caledonia,32,20,Vanuatu
10 Mar 2007,Portugal,12,5,Uruguay
12 Mar 2011,Italy,22,21,France
12 Oct 2002,Colombia,3,17,Venezuela
13 Mar 2010,Russia,48,11,Germany
20 Jan 1912,Scotland,31,3,France
02 Feb 2008,England,19,26,Wales
02 Apr 1923,France,3,12,England
21 Feb 1987,Scotland,16,12,Ireland
16 Sep 2006,Zambia,14,10,Zimbabwe
07 Feb 1891,Scotland,15,0,Wales
18 Jun 2011,Uganda,58,30,Madagascar
10 Dec 1967,France,11,3,Romania
28 Aug 2001,Cameroon,17,0,Uganda
05 Jul 1997,New Zealand,30,13,Australia
06 Nov 1976,Czechoslovakia,22,6,West Germany
05 Oct 2002,Japan,76,19,Chinese Taipei
