player,team,from,to,played,start,sub,pts,tries,conv,pens,drop,gfm,won,lost,draw
GT Dempsey,Ire,1998,2008,82,68,14,95,19,0,0,0,0,50,32
J de Villiers,SA,2002,2012,82,78,4,100,20,0,0,0,0,51,27
I Harinordoquy,Fra,2002,2012,82,66,16,65,13,0,0,0,0,52,28
MC Burke,Aust,1993,2004,81,69,12,878,29,104,174,1,0,55,25
CMH Gibson,Ire/Lions,1964,1979,81,80,1,112,9,7,16,6,0,31,39
JW Marshall,NZ,1995,2005,81,74,7,120,24,0,0,0,0,61,19
F Ongaro,Italy,2000,2012,81,48,33,25,5,0,0,0,0,25,55
JP du Randt,SA,1994,2007,80,75,5,25,5,0,0,0,0,52,27
TJ Horan,Aust,1989,2000,80,80,0,140,30,0,0,0,0,59,20
WJ McBride,Ire/Lions,1962,1975,80,80,0,7,2,0,0,0,0,33,34
SA Mortlock,Aust,2000,2009,80,77,3,489,29,61,74,0,0,52,28
VS Uva,Port,2003,2012,80,75,5,55,11,0,0,0,0,33,43
F Contepomi,Arg,1998,2012,79,69,10,631,15,71,136,2,0,42,37
IC Evans,Lions/Wales,1987,1998,79,79,0,161,34,0,0,0,0,34,44
ID Jones,NZ,1990,1999,79,75,4,42,9,0,0,0,0,59,18
Y Motoki,Japan,1991,2005,79,73,6,45,9,0,0,0,0,31,47
DJ Peel,Lions/Wales,2001,2011,79,47,32,25,5,0,0,0,0,35,42
PR Waugh,Aust,2000,2009,79,44,35,20,4,0,0,0,0,46,31
DJ Wilson,Aust,1992,2000,79,75,4,65,13,0,0,0,0,60,18
JPR Worsley,Eng/Lions,1999,2011,79,52,27,50,10,0,0,0,0,48,30
A Benazzi,Fra,1990,2001,78,71,7,45,9,0,0,0,0,48,30
CE Latham,Aust,1998,2007,78,68,10,200,40,0,0,0,0,50,26
PL Sporleder,Arg,1990,2003,78,72,6,70,14,0,0,0,0,41,36
PJ Vickery,Eng/Lions,1998,2009,78,69,9,10,2,0,0,0,0,50,28
MG Andrews,SA,1994,2001,77,74,3,60,12,0,0,0,0,51,24
GC Bulloch,Lions/Scot,1997,2005,77,71,6,20,4,0,0,0,0,26,50
GJ Canale,Italy,2003,2012,77,69,8,35,7,0,0,0,0,24,52
NJ Hines,Scot,2000,2011,77,51,26,10,2,0,0,0,0,30,46
JPR White,Scot,2000,2009,77,62,15,20,4,0,0,0,0,31,46
AM Aguilar,Port,1999,2012,76,70,6,110,22,0,0,0,0,27,47
CR Andrew,Eng/Lions,1985,1997,76,74,2,407,2,34,87,23,0,53,21
JP Botha,SA,2002,2011,76,74,2,35,7,0,0,0,0,56,20
MJ Catt,Eng/Lions,1994,2007,76,63,13,142,7,16,22,3,0,50,25
AJ Charron,Can,1990,2003,76,76,0,44,9,0,0,0,0,40,36
D Dominguez,Arg/Italy,1989,2003,76,75,1,1010,9,133,213,20,0,29,46
RS Gontineac,Rom,1995,2008,76,75,1,68,13,0,0,1,0,35,41
RA Hill,Eng/Lions,1997,2005,76,73,3,60,12,0,0,0,0,53,21
A Lungu,Rom,1980,1995,76,75,1,12,3,0,0,0,0,40,36
A Rougerie,Fra,2001,2012,76,71,5,115,23,0,0,0,0,48,27
LM Sirbu,Rom,1996,2011,76,62,14,45,9,0,0,0,0,40,34
SG Thompson,Eng/Lions,2002,2011,76,54,22,20,4,0,0,0,0,49,25
J Bonnaire,Fra,2004,2012,75,55,20,30,6,0,0,0,0,49,24
RD Elsom,Aust,2005,2011,75,73,2,70,14,0,0,0,0,43,30
JS Little,Aust,1989,2000,75,62,13,102,21,0,0,0,0,58,17
MJ Tindall,Eng,2000,2011,75,71,4,74,14,2,0,0,0,51,24
DP Wallace,Ire/Lions,2000,2011,75,68,7,60,12,0,0,0,0,45,29
AJ Williams,NZ,2002,2012,75,62,13,35,7,0,0,0,0,63,11
DJ Grewcock,Eng/Lions,1997,2007,74,55,19,10,2,0,0,0,0,45,28
DP Mateus,Port,2000,2010,74,72,2,73,14,0,1,0,0,33,37
LW Moody,Eng/Lions,2001,2011,74,59,15,50,10,0,0,0,0,46,26
GEA Murphy,Ire/Lions,2000,2011,74,57,17,98,18,1,1,1,0,43,29
L Nallet,Fra,2000,2012,74,54,20,45,9,0,0,0,0,49,24
H Onozawa,Japan,2001,2012,74,67,7,255,51,0,0,0,0,37,34
JF Umaga,NZ,1997,2005,74,73,1,180,36,0,0,0,0,59,14
CJ van der Linde,SA,2002,2012,74,39,35,20,4,0,0,0,0,41,31
