date,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
2012-05-26,Sharks,Stormers,3,2,2,0,2,2,2,0
2012-06-01,Crusaders,Highlanders,7,2,5,0,2,2,1,0
2012-06-02,Rebels,Brumbies,1,4,1,0,2,5,1,0
2012-06-02,Chiefs,Blues,5,2,5,0,4,2,4,0
2012-06-02,Waratahs,Hurricanes,0,4,0,0,4,3,3,0
2012-06-02,Lions,Sharks,4,4,3,0,3,3,2,0
2012-06-02,Bulls,Stormers,1,3,0,0,1,4,1,0
2012-06-29,Highlanders,Chiefs,2,3,1,0,2,5,1,0
2012-06-30,Rebels,Reds,2,1,2,0,4,2,3,0
2012-06-30,Crusaders,Hurricanes,1,5,1,0,2,3,2,0
2012-06-30,Force,Brumbies,3,0,1,0,4,2,1,0
2012-06-30,Stormers,Lions,3,2,3,0,2,1,2,0
2012-06-30,Bulls,Cheetahs,6,0,4,0,4,0,2,0
2012-07-06,Chiefs,Crusaders,2,3,1,0,3,2,2,1
2012-07-06,Reds,Highlanders,1,4,1,0,2,1,0,0
2012-07-07,Sharks,Bulls,4,2,3,0,1,1,1,0
2012-07-07,Blues,Force,4,2,3,0,0,3,0,0
2012-07-07,Waratahs,Brumbies,2,1,1,0,1,4,1,0
2012-07-07,Cheetahs,Stormers,0,1,0,0,1,2,1,0
2012-07-07,Lions,Rebels,4,3,4,0,4,2,3,0
2012-07-13,Hurricanes,Chiefs,3,3,2,0,3,2,2,0
2012-07-14,Brumbies,Blues,1,3,1,0,3,3,3,0
2012-07-14,Crusaders,Force,4,4,3,0,3,1,3,0
2012-07-14,Reds,Waratahs,5,1,2,0,2,1,0,1
2012-07-14,Stormers,Rebels,2,4,2,0,3,0,3,0
2012-07-14,Sharks,Cheetahs,3,2,4,0,0,5,0,0
2012-07-14,Bulls,Lions,4,3,4,0,2,2,2,0
2012-07-21,Crusaders,Bulls,1,6,1,1,2,1,0,0
2012-07-21,Reds,Sharks,2,1,2,0,3,2,3,1
2012-07-28,Chiefs,Crusaders,2,2,2,0,1,4,0,0
2012-07-28,Stormers,Sharks,1,4,1,0,2,2,2,2
2012-08-04,Chiefs,Sharks,4,3,4,0,0,2,0,0
2011-02-18,Hurricanes,Highlanders,0,3,0,0,1,3,0,0
2011-02-18,Rebels,Waratahs,0,0,0,0,7,0,4,0
2011-02-19,Blues,Crusaders,3,3,0,0,2,4,0,0
2011-02-19,Brumbies,Chiefs,3,3,2,0,3,1,1,0
2011-02-19,Sharks,Cheetahs,2,4,1,0,0,3,0,0
2011-02-19,Lions,Bulls,3,1,1,0,2,4,1,0
2011-02-20,Reds,Force,2,3,1,0,1,5,0,0
2011-02-25,Highlanders,Chiefs,2,3,2,0,1,2,1,0
2011-02-25,Rebels,Brumbies,1,6,1,0,2,3,1,1
2011-02-26,Cheetahs,Bulls,3,2,1,0,3,2,2,0
2011-02-26,Waratahs,Reds,4,2,2,0,0,2,0,0
2011-02-26,Sharks,Blues,2,4,2,0,0,4,0,0
2011-02-26,Stormers,Lions,1,4,1,0,2,2,0,0
2011-03-04,Crusaders,Waratahs,3,4,3,0,3,1,0,0
2011-03-05,Lions,Blues,4,2,3,0,5,1,5,1
2011-03-05,Chiefs,Rebels,4,3,3,0,1,1,1,0
2011-03-05,Brumbies,Reds,4,2,1,0,1,6,1,1
2011-03-05,Force,Sharks,0,4,0,0,5,2,3,0
2011-03-05,Stormers,Cheetahs,0,7,0,0,0,5,0,0
2011-03-05,Bulls,Highlanders,3,3,2,0,4,3,3,0
2011-03-11,Crusaders,Brumbies,6,4,2,0,1,1,1,0
2011-03-11,Rebels,Sharks,4,2,3,0,4,2,4,0
2011-03-11,Stormers,Highlanders,0,6,0,0,0,2,0,0
2011-03-12,Hurricanes,Chiefs,2,5,2,0,3,3,1,0
2011-03-12,Force,Blues,1,5,1,0,1,5,1,0
2011-03-12,Cheetahs,Lions,1,1,0,0,2,5,0,0
2011-03-18,Chiefs,Sharks,0,5,0,0,0,3,0,0
2011-03-19,Reds,Rebels,7,2,6,0,0,1,0,0
2011-03-19,Highlanders,Crusaders,1,2,1,0,6,3,4,0
2011-03-19,Blues,Hurricanes,5,1,5,0,1,4,0,0
2011-03-19,Waratahs,Cheetahs,0,1,0,0,2,3,2,0
2011-03-19,Lions,Force,0,4,0,1,2,4,1,0
2011-03-19,Bulls,Stormers,1,2,1,0,1,6,0,0
2011-03-25,Rebels,Hurricanes,6,2,3,0,4,1,1,0
2011-03-26,Reds,Cheetahs,6,1,4,0,1,1,0,0
2011-03-26,Chiefs,Blues,2,1,0,0,1,3,1,0
2011-03-26,Brumbies,Waratahs,1,5,1,0,2,5,2,0
2011-03-26,Stormers,Force,6,3,6,0,1,3,1,0
2011-03-26,Bulls,Lions,3,3,3,0,2,3,2,0
2011-03-27,Crusaders,Sharks,5,3,5,0,4,2,1,0
2011-04-01,Highlanders,Brumbies,3,3,1,0,3,1,1,0
2011-04-01,Waratahs,Chiefs,2,3,2,0,1,3,1,0
2011-04-02,Blues,Cheetahs,4,1,3,0,3,1,2,0
2011-04-02,Hurricanes,Bulls,1,3,0,0,1,5,0,2
2011-04-02,Force,Rebels,3,2,2,0,3,3,1,0
2011-04-02,Lions,Reds,2,5,0,0,3,3,3,0
2011-04-02,Sharks,Stormers,0,2,0,0,1,3,1,0
2011-04-08,Highlanders,Cheetahs,3,1,3,0,3,0,3,0
2011-04-09,Crusaders,Bulls,3,3,0,0,0,0,0,0
2011-04-09,Brumbies,Hurricanes,1,4,0,0,1,3,1,0
2011-04-09,Force,Waratahs,0,1,0,0,4,1,4,0
2011-04-09,Stormers,Reds,0,2,0,0,1,4,1,0
2011-04-09,Sharks,Lions,4,1,2,0,0,1,0,0
2011-04-15,Chiefs,Crusaders,1,3,1,0,4,1,3,0
2011-04-15,Rebels,Highlanders,2,2,1,0,6,2,2,0
2011-04-16,Blues,Waratahs,5,0,1,0,3,0,1,0
2011-04-16,Reds,Bulls,6,0,1,1,3,3,3,0
2011-04-16,Lions,Stormers,1,3,1,1,3,2,3,0
2011-04-16,Cheetahs,Hurricanes,5,2,5,2,6,4,4,0
2011-04-17,Brumbies,Force,1,4,1,0,3,2,3,0
2011-04-22,Blues,Rebels,6,2,2,0,2,3,2,0
2011-04-23,Crusaders,Highlanders,2,1,1,1,3,3,1,0
2011-04-23,Reds,Waratahs,1,3,1,1,0,5,0,0
2011-04-23,Force,Bulls,1,6,1,0,2,0,4,0
2011-04-23,Sharks,Hurricanes,5,3,3,0,3,4,1,0
2011-04-24,Lions,Chiefs,3,3,3,0,5,1,3,0
2011-04-29,Highlanders,Blues,1,1,1,0,0,5,0,0
2011-04-30,Cheetahs,Brumbies,4,5,3,2,5,1,4,0
2011-04-30,Hurricanes,Reds,4,2,1,0,3,3,1,0
2011-04-30,Waratahs,Rebels,3,3,2,0,0,3,0,0
2011-04-30,Force,Crusaders,2,6,1,0,5,3,2,0
2011-04-30,Bulls,Chiefs,4,4,4,1,3,2,3,0
2011-04-30,Stormers,Sharks,4,1,3,1,0,4,0,0
2011-05-06,Hurricanes,Blues,1,3,0,0,1,4,0,0
2011-05-06,Rebels,Reds,3,1,0,0,4,1,2,0
2011-05-07,Lions,Cheetahs,3,0,2,0,5,6,5,0
2011-05-07,Chiefs,Highlanders,2,2,2,0,1,0,1,0
2011-05-07,Waratahs,Force,2,2,2,0,0,5,0,0
2011-05-07,Stormers,Crusaders,1,3,0,0,2,2,2,0
2011-05-07,Sharks,Brumbies,4,2,4,0,1,3,1,0
2011-05-13,Highlanders,Hurricanes,1,2,1,0,0,2,0,0
2011-05-14,Reds,Blues,4,3,4,0,4,1,4,0
2011-05-14,Chiefs,Stormers,3,3,3,0,2,3,2,0
2011-05-14,Brumbies,Lions,2,2,2,0,4,1,4,0
2011-05-14,Bulls,Rebels,7,0,5,0,1,1,1,0
2011-05-14,Cheetahs,Crusaders,3,1,3,0,2,2,2,0
2011-05-20,Blues,Stormers,2,4,2,0,3,3,2,0
2011-05-21,Crusaders,Chiefs,1,5,1,1,1,4,1,0
2011-05-21,Waratahs,Lions,5,0,2,0,2,0,1,0
